"Part";"Value";"Device";"Package";"Description";"CIIVA_IDS";"CODE__JEDEC";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"DATASHEET";"DATASHEET_VERSION";"FOOTPRINT_VARIANT_NAME_0";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"MF";"MPN";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_VERSION";"PIN_0_0_3_INSIDE_EDGE";"POPULARITY";"PREFIX";"PROD_ID";"RELEASE_DATE";"SF_ID";"SF_SKU";"SPICEPREFIX";"VALUE";"VAULT_GUID";"VAULT_REVISION";
"339";"TLC339P";"TLC339P";"DIL14";"COMPARATOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";
"4017";"4017N";"4017N";"DIL16";"COUNTER/DIVIDER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";
"4040";"4040N";"4040N";"DIL16";"12-stage binary/ripple COUNTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";
"4046";"4046N";"4046N";"DIL16";"Micropower PLL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";
"4051";"4051N";"4051N";"DIL16";"8-channel ANALOG MULTIPLEXER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"";"";"";"";"";
"4094";"4094N";"4094N";"DIL16";"8-stage SHIFT/STORE REGISTER, tri-state";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";
"7805";"7805";"78XXS";"78XXS";"VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18";"";"";"";"";"";"";"";"";"";
"7809";"7809";"78XXS";"78XXS";"VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18";"";"";"";"";"";"";"";"";"";
"40106";"40106N";"40106N";"DIL14";"Hex SCHMITT TRIGGER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";
"B1";"TEENSYNOSILK";"TEENSYNOSILK";"TEENSY_NOSILK";"Teensy Footprint";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DEV-12646";"";"";"";"";"";
"C1";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08370";"";"";"";"";"0.1uF";"";"";
"C2";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08370";"";"";"";"";"0.1uF";"";"";
"C3";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08370";"";"";"";"";"0.1uF";"";"";
"C4";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08370";"";"";"";"";"0.1uF";"";"";
"C5";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08370";"";"";"";"";"0.1uF";"";"";
"C6";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08370";"";"";"";"";"0.1uF";"";"";
"C7";"100uF";"100UF-POLAR-RADIAL-2.5MM-25V-20%";"CPOL-RADIAL-2.5MM-6.5MM";"100µF polarized capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08439";"";"";"";"";"100uF";"";"";
"C8";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08370";"";"";"";"";"0.1uF";"";"";
"C9";"10uF";"10UF-POLAR-RADIAL-2.5MM-25V-20%";"CPOL-RADIAL-2.5MM-5MM";"10.0µF polarized capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08440";"";"";"";"";"10uF";"";"";
"C10";"10uF";"10UF-POLAR-RADIAL-2.5MM-25V-20%";"CPOL-RADIAL-2.5MM-5MM";"10.0µF polarized capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08440";"";"";"";"";"10uF";"";"";
"C11";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08370";"";"";"";"";"0.1uF";"";"";
"C12";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08370";"";"";"";"";"0.1uF";"";"";
"C13";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08370";"";"";"";"";"0.1uF";"";"";
"C14";"10uF";"10UF-POLAR-RADIAL-2.5MM-25V-20%";"CPOL-RADIAL-2.5MM-5MM";"10.0µF polarized capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08440";"";"";"";"";"10uF";"";"";
"C15";"10uF";"10UF-POLAR-RADIAL-2.5MM-25V-20%";"CPOL-RADIAL-2.5MM-5MM";"10.0µF polarized capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08440";"";"";"";"";"10uF";"";"";
"C16";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08370";"";"";"";"";"0.1uF";"";"";
"C17";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08370";"";"";"";"";"0.1uF";"";"";
"C18";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08370";"";"";"";"";"0.1uF";"";"";
"C19";".1uF";"C5/3.5";"C5B3.5";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";
"C20";"47uF";"10UF-POLAR-RADIAL-2.5MM-25V-20%";"CPOL-RADIAL-2.5MM-5MM";"10.0µF polarized capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08440";"";"";"";"";"10uF";"";"";
"C21";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08370";"";"";"";"";"0.1uF";"";"";
"C22";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08370";"";"";"";"";"0.1uF";"";"";
